building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
3631 COMMODORE JOSHUA BARNEY DRIVE NE,"3631 Commodore Joshua Barney Drive Northeast, Washington, DC",This 4 lvl end unit townhome features 2 mstr bedroom suites w/2 mstr bathrooms both featuring custom closets and a 1 car garage.Main level has a open floor plan for house gatherings. Kitchen features a breakfast bar and kitchen island.,1 Unit Available,2 Bedrooms,"$3,000",1664 sqft
1604 ISHERWOOD STREET NE,"1604 Isherwood Street Northeast, Washington, DC","Non- Smoking Unit 4 OF 4  is available for rent in sought after NE of Washington,DC! Enjoy the luxury of North East in the heart of Washington DC. This location is conveniently located near all major roads and events.",1 Unit Available,2 Bedrooms,"$2,250",720 sqft
1301 DELAWARE AVENUE SW,"1301 Delaware Avenue Southwest, Washington, DC","This amazing rental opportunity will certainly impress any tenant!  West-facing and flooded with natural sunlight, this unit is spacious and ready for move-in.  Located only a short walk to the Nationals Ballpark, Audi Field, and The Wharf.",1 Unit Available,1 Bedroom,"$1,850",650 sqft
44 R STREET NE,"44 R Street Northeast, Washington, DC","1900s row house (south facing - sunny front rooms!) 3 bed + den (back 4th bedroom has laundry machines, so guess we should call it a study/den) Master bed with large built in closet and ensuite bath bathroom (with tub) (ensuite to second bedroom) 1 ",1 Unit Available,3 Bedrooms,"$4,800",2536 sqft
1901 SAVANNAH PLACE SE,"1901 Savannah Place Southeast, Washington, DC","RENT READY  & NICE  Property  3 bedroom, 2  bathroom Town home, separate living and dining rooms; upgraded bathroom, kitchen and appliances. Contact LA with questions.",1 Unit Available,3 Bedrooms,"$2,350",1218 sqft
334 36TH STREET NE,"334 36th Street Northeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 334 36TH STREET NE in
      Washington. View photos, descriptions and more!
",1 Unit Available,2 Bedrooms,"$2,450",832 sqft
1018 DOUGLAS STREET NE,"1018 Douglas Street Northeast, Washington, DC",Modern 2 Bedroom/2 Bath in the heart of Brookland.  It features an open concept living/dining area with lots of natural light. The kitchen has been updated with exquisite finishes and stainless steel appliances. The bathrooms are spa-like.,1 Unit Available,2 Bedrooms,"$3,100",923 sqft
421 I STREET SE,"421 I Street Southeast, Washington, DC","Location, space, and luxury all come together in this gently lived and well maintained four bedroom row home!

Walk through the front door from the lush green space or pull into your oversized garage, hang your jacket, and on the first level find ",1 Unit Available,4 Bedrooms,"$4,700",1912 sqft
1261 SIMMS PLACE NE,"1261 Simms Place Northeast, Washington, DC","Come see this spacious and recently updated apartment available just blocks away from Gallaudet University, Ivy City, Union Market, and H Street.",1 Unit Available,2 Bedrooms,"$1,700",4295 sqft
3215 12TH STREET NE,"3215 12th Street Northeast, Washington, DC","This spacious, light filled, professionally managed, and well-located condo can be your new home! Just a few short blocks to the Metro, urban living in the heart of Brookland affords you access to bike trails that connect you to the rest of the DMV, ",1 Unit Available,2 Bedrooms,"$2,650",876 sqft
812 5TH STREET NE,"812 5th Street NE, Washington, DC","This beautiful 2 level condo sits right off of H Street in NE Washington, DC.  Just minutes from Chinatown and Union Station.  It has the beauty of DC and the peace and quiet of the suburbs all wrapped in one.",1 Unit Available,2 Bedrooms,"$3,395",1032 sqft
700 7TH STREET SW,"700 7th Street Southwest, Washington, DC","Live in Luxury at the SW Waterfront in DC! This beautiful spacious 3b 2b apartment comes with a master bedroom suite, plenty of storage throughout the unit, one garage parking space (included in rental price), and a balcony for lounging that ",1 Unit Available,Studio,Ask,NA
700 7TH STREET SW,"700 7th Street Southwest, Washington, DC","Live in Luxury at the SW Waterfront in DC! This beautiful spacious 3b 2b apartment comes with a master bedroom suite, plenty of storage throughout the unit, one garage parking space (included in rental price), and a balcony for lounging that ",1 Unit Available,1 Bedroom,Ask,NA
700 7TH STREET SW,"700 7th Street Southwest, Washington, DC","Live in Luxury at the SW Waterfront in DC! This beautiful spacious 3b 2b apartment comes with a master bedroom suite, plenty of storage throughout the unit, one garage parking space (included in rental price), and a balcony for lounging that ",1 Unit Available,2 Bedrooms,Ask,NA
5713 6TH STREET NW,"5713 6th Street Northwest, Washington, DC",Modern Sophisticated style surrounds this completely renovated marvel in the heart of Brightwood. Open floor plan with high ceiling with large casement windows and large picture windows.,1 Unit Available,3 Bedrooms,"$4,500",2188 sqft
1418 EUCLID STREET NW,"1418 Euclid Street Northwest, Washington, DC","Gorgeous, English Basement apartment with two (2) bedrooms and 1 bath.  Beautiful Kitchen w/stainless steel appliances, granite counter tops, and lovely pendant lighting.  There is porcelain tile through-out the apartment.",1 Unit Available,2 Bedrooms,"$2,400",878 sqft
2829 CONNECTICUT AVENUE NW,"2829 Connecticut Avenue Northwest, Washington, DC",ACT NOW!  Rent is waived  for the month of August!!  All utilities are included in the rent except for internet.,1 Unit Available,Studio,"$1,700",486 sqft
2829 CONNECTICUT AVENUE NW,"2829 Connecticut Avenue Northwest, Washington, DC",ACT NOW!  Rent is waived  for the month of August!!  All utilities are included in the rent except for internet.,1 Unit Available,1 Bedroom,Ask,NA
1167 MORSE STREET NE,"1167 Morse Street Northeast, Washington, DC","Absolutely Gorgeous!  Perfect for Hill Staffers, Hospital and College Residence, Corporate and Military Housing!   Located in the heart of 3 active and growing Washington, D.C.",1 Unit Available,4 Bedrooms,"$5,150",2683 sqft
2030 FLAGLER PLACE NW,"2030 Flagler Place Northwest, Washington, DC","""ALSO AVAILABLE FULLY FURNISHED FOR $4,625.00"". Superb sunny renovated 2 bedroom/2.5 bath home in sought after Bloomingdale neighborhood.",1 Unit Available,2 Bedrooms,"$4,125",1906 sqft
1202 JACKSON STREET NE,"1202 Jackson Street Northeast, Washington, DC","Call this contemporary, spacious, professionally managed, and well-located condo your new home!  Just a few short blocks to the Metro, urban living in the heart of Brookland affords you access to bike trails that connect you to the rest of the DMV, ",1 Unit Available,2 Bedrooms,"$2,650",878 sqft
607 FLORIDA AVENUE NW,"607 Florida Avenue Northwest, Washington, DC","****LOCATION ****LOCATION****LOCATION****!!!!

Looking to live in the heart of Washington, DC in one of the most trendy areas of the city?? This is it!!
Check out this main level condo suite located in the heart of the Shaw subdivision directly ",1 Unit Available,1 Bedroom,"$1,995",1907 sqft
4471 MACARTHUR BOULEVARD NW,"4471 Macarthur Boulevard Northwest, Washington, DC","Have no furniture? We have a FULLY FURNISHED beautiful modern light-filled 1 bedroom 1 bath +Den for rent located in The Palisades neighborhood in DC, often referred to by residents as a small town in a big city.",1 Unit Available,1 Bedroom,"$1,650",595 sqft
3033 NEW MEXICO AVENUE NW,"3033 New Mexico Avenue Northwest, Washington, DC",Spacious condo in Wesley Heights with  Utilities Included. Renovated Kitchen w granite and Stainless Steel appliances. Dining Room off large Living Room. Generous Bedroom with two large closets. Updated Bath.,1 Unit Available,1 Bedroom,"$1,975",716 sqft
2300 IRVING STREET SE,"2300 Irving Street Southeast, Washington, DC","Hurry, won't last. Stunning newly renovated fully detached home with a spacious yard is ready for IMMEDIATE delivery. Boasting 4 bedrooms, 3.",1 Unit Available,3 Bedrooms,Ask,NA
2300 IRVING STREET SE,"2300 Irving Street Southeast, Washington, DC","Hurry, won't last. Stunning newly renovated fully detached home with a spacious yard is ready for IMMEDIATE delivery. Boasting 4 bedrooms, 3.",1 Unit Available,4 Bedrooms,"$3,490",2320 sqft
3110 CITYSCAPE DRIVE NE,"3110 Cityscape Dr NE, Washington, DC",Welcome to Fort Lincoln.  Fort Lincoln is one of the fastest-growing communities in the District of Columbia adding over 400 homes in the past 10 years.  This townhome is located in the subdivision known as Banneker Ridge.,1 Unit Available,4 Bedrooms,"$7,000",3192 sqft
5326 43RD STREET NW,"5326 43rd Street Northwest, Washington, DC","Fabulous location in the heart of Chevy Chase, walk to Metro, shops, restaurants.   Tastefully renovated, spacious 3 bdrm, 3.5 ba with open floorpan.",1 Unit Available,3 Bedrooms,"$5,500",3068 sqft
2043 38TH STREET SE,"2043 38th Street Southeast, Washington, DC","Newly renovated, spacious three level semi-detatched condo! Immaculate & cozy two bedroom one bath unit in the Fairfax Village community.",1 Unit Available,2 Bedrooms,"$2,100",1352 sqft
1101 TRENTON PLACE SE,"1101 Trenton Place Southeast, Washington, DC","Luxurious, nearly-new end-unit townhome in Archer Park, only 7 minutes to metro!  Numerous upgrades including garage with storage, hardwood floors, recessed lighting, lower level bedroom and full bath, deck, and a stunning gourmet kitchen with ample ",1 Unit Available,3 Bedrooms,"$2,800",1983 sqft
235 DIVISION AVENUE NE,"235 Division Avenue Northeast, Washington, DC",Welcome Home! Your FULLY renovated 2 BEDROOM 1 BATHROOM.,1 Unit Available,2 Bedrooms,"$2,450",1510 sqft
4403 7TH STREET NE,"4403 7th Street Northeast, Washington, DC","Beautiful, completely renovated, semi-detached  home located in a well-established Brook land community. This home boasts 4 bedrooms and 3 fully renovated bathrooms. Each bedroom is  newly carpeted  with  spacious closets.  .",1 Unit Available,4 Bedrooms,"$3,400",1842 sqft
1101 3RD STREET SW,"1101 3rd Street Southwest, Washington, DC",Lovely light filled two bedroom one bath apartment near the intersection of M St and 3rd SW.  Just 2 block from Metro and the Safeway.  Three blocks to Arena Stage and the Waterfront.  Unit has one surface reserved parking space in a secured lot.,1 Unit Available,Studio,Ask,NA
1101 3RD STREET SW,"1101 3rd Street Southwest, Washington, DC",Lovely light filled two bedroom one bath apartment near the intersection of M St and 3rd SW.  Just 2 block from Metro and the Safeway.  Three blocks to Arena Stage and the Waterfront.  Unit has one surface reserved parking space in a secured lot.,1 Unit Available,1 Bedroom,Ask,NA
1101 3RD STREET SW,"1101 3rd Street Southwest, Washington, DC",Lovely light filled two bedroom one bath apartment near the intersection of M St and 3rd SW.  Just 2 block from Metro and the Safeway.  Three blocks to Arena Stage and the Waterfront.  Unit has one surface reserved parking space in a secured lot.,1 Unit Available,2 Bedrooms,"$2,700",1121 sqft
3014 DENT PLACE NW,"3014 Dent Pl NW, Washington, DC","Old world charm meets modern convenience! Superb top floor city flat w/incredible views on apicturesque street; sparkling wood floors,  renovated kitchen w/European cabinetry, gascooking, granite counters; dining room has built-in china cabinet; ",1 Unit Available,2 Bedrooms,"$2,950",840 sqft
500 G STREET SW,"500 G Street Southwest, Washington, DC","Beautiful SW 2 level end unit townhouse. 3 bedrooms, 2 1/2 baths, Exterior patio, .Enclosed brick patio,  fully equipped kitchen. Must see for yourself!",1 Unit Available,3 Bedrooms,"$4,200",1724 sqft
215 UPSHUR STREET NW,"215 Upshur Street Northwest, Washington, DC","Two-bedroom, 2 bath.  New Construction. Washer Dryer in unit.  Hardwood floors, W&D, stainless steel appliances, granite counters, custom kitchen & tiled baths. Off-street parking available.",1 Unit Available,2 Bedrooms,"$2,285",850 sqft
4770 DEXTER STREET NW,"4770 Dexter Street Northwest, Washington, DC","Rare to the market, this stunning and newly designed 3 story, 4 bedroom, 4.5 bath home nestled on a beautiful lot in a prime location is loaded with high end finished and upgrades.",1 Unit Available,4 Bedrooms,"$9,950",3559 sqft
1434 PERRY PLACE NW,"1434 Perry Place Northwest, Washington, DC",Classic Row-Townhome in the heart of Columbia Heights. Hardwoods throughout the open lower level with 3 bedrooms upstairs. Newer kitchen and bath and a large two-level deck out back with 2 car parking pad.,1 Unit Available,1 Bedroom,Ask,NA
1434 PERRY PLACE NW,"1434 Perry Place Northwest, Washington, DC",Classic Row-Townhome in the heart of Columbia Heights. Hardwoods throughout the open lower level with 3 bedrooms upstairs. Newer kitchen and bath and a large two-level deck out back with 2 car parking pad.,1 Unit Available,4 Bedrooms,"$3,200",1654 sqft
38 K STREET SE,"38 K Street Southeast, Washington, DC","The nation~s capital is experiencing a never-before-seen level of modern luxury living. Located in Capitol Riverfront, Washington D.C.",1 Unit Available,2 Bedrooms,"$6,000",1066 sqft
4662 HILLSIDE ROAD SE,"4662 Hillside Road Southeast, Washington, DC",renovated spacious 1 bedrooms for rent close to metro Dcha housing vouchers VA housing vouchers and other Housing vouchers accepted,1 Unit Available,1 Bedroom,"$1,287",2444 sqft
4706 8TH STREET NW,"4706 8th Street Northwest, Washington, DC","Move-in Ready Townhome in DC! Gorgeous wood flooring, open floor plan with a unique brick wall in living space.",1 Unit Available,3 Bedrooms,"$3,495",1879 sqft
439 QUINCY STREET NW,"439 Quincy Street Northwest, Washington, DC","Rent Special $1500.00 for the 1st month only for qualified tenant.  Walk 8 minutes to the  Petworth Metro.  Apartment 2  on top floor has 2 bedrooms , 1 bath and den apartment with hardwood floors and lots of natural light.",1 Unit Available,2 Bedrooms,"$1,900",1600 sqft
712 BAYLEY PLACE SE,"712 Bayley Place Southeast, Washington, DC","Renovated spacious 3 bedroom unit great location close to metro and Fort Dupont park DCHA ,VA Housing vouchers accepted",1 Unit Available,3 Bedrooms,"$2,578",2888 sqft
1414 22ND STREET NW,"1414 22nd Street Northwest, Washington, DC","Stunning upgraded 2 bedroom, 2 full bathrooms with 2  underground secured garage  parking spaces with a 22 foot long by 3 foot deep storage bin.",1 Unit Available,2 Bedrooms,"$3,850",1506 sqft
3105 NAYLOR ROAD SE,"3105 Naylor Road Southeast, Washington, DC","COME SEE THIS SOUGHT AFTER LARGE CONDO IN THE RANDLE HEIGHTS COMMUNITY. THIS CONDO HAS TWO NICE SIZE BEDROOMS, WALK IN CLOSET WITH NICE STORAGE SPACE ,STAINLESS STEEL APPLIANCES , THIS PROPERTY WILL BE AVAILABLE FOR AN AUGUST 1, 2020 MOVE IN DATE.",1 Unit Available,1 Bedroom,Ask,NA
3105 NAYLOR ROAD SE,"3105 Naylor Road Southeast, Washington, DC","COME SEE THIS SOUGHT AFTER LARGE CONDO IN THE RANDLE HEIGHTS COMMUNITY. THIS CONDO HAS TWO NICE SIZE BEDROOMS, WALK IN CLOSET WITH NICE STORAGE SPACE ,STAINLESS STEEL APPLIANCES , THIS PROPERTY WILL BE AVAILABLE FOR AN AUGUST 1, 2020 MOVE IN DATE.",1 Unit Available,2 Bedrooms,"$1,475",848 sqft
